             Session           ChannelID           SiteIndex                   X                   Y                   Z        DurationTime        AverageForce      MaxTemperature            MaxPower       BaseImpedance       ImpedanceDrop                 FTI             RFIndex      TagIndexStatus                   
                5831                   0                   1              11.111              54.881             108.771              31.517              10.392              36.500              25.875             138.913              15.533             328.000             405.032                   1                   
                5832                   0                   2               5.606              55.130             109.362              24.717              14.453              36.125              25.750             149.915              20.800             357.000             403.796                   1                   
                5833                   0                   3              24.016              27.675             104.109              41.017              10.412              33.625              31.750             147.448              12.549             427.000             501.746                   1                   
                5834                   0                   4              22.695              33.378             110.457              53.217               6.645              34.500              32.000             143.561               9.748             354.000             501.472                   1                   
                5835                   0                   5              24.113              27.784             106.463              41.517              10.068              33.500              31.875             146.159              16.472             418.000             501.823                   1                   
                5836                   0                   6              23.475              23.832             103.876              45.567               8.752              33.000              32.000             136.158               6.760             399.000             502.101                   1                   
                5837                   0                   7              19.279              22.943              99.461              57.017               5.658              32.000              32.125             136.566               7.363             323.000             501.554                   1                   
                5838                   0                   8              21.986              22.793             101.564              46.367               8.280              30.875              32.000             134.041               8.174             384.000             501.933                   1                   
                5839                   0                   9              15.178              19.610              98.045              59.417               4.563              32.250              31.875             132.416               5.042             271.000             489.014                   1                   
                5840                   0                  10              16.210              20.598              98.826              59.417               4.874              32.250              31.875             130.739               5.545             290.000             493.482                   1                   
                5841                   0                  11              10.080              21.928              96.783               4.700               3.430              31.125              31.750          -10000.000          -10000.000              16.000             197.091                   1                   
                5842                   0                  12              13.305              17.747              99.644              59.467               4.199              32.375              32.000             127.596               6.120             250.000             487.431                   1                   
                5843                   0                  13              10.880              17.686              98.593              59.467               5.086              32.000              31.875             126.776               6.784             302.000             500.612                   1                   
                5844                   0                  14               8.034              18.178              98.762              26.983               3.881              32.125              31.750             124.119               4.530             105.000             368.887                   1                   
                5844                   0                  15               7.783              18.583              99.158              12.817               3.032              31.500              31.625             123.814               6.450              39.000             282.368                   1                   
                5844                   0                  16               8.184              16.786              99.776               4.700               2.970              30.750              31.875          -10000.000          -10000.000              14.000             197.984                   1                   
                5845                   0                  17              20.587              38.560             106.415              30.617              30.322              32.250              32.250             127.577               8.669             928.000             587.055                   1                   
                5846                   0                  18              13.046              36.690             104.984              20.467              26.060              39.375              32.250             155.100              41.876             533.000             490.232                   1                   
                5847                   0                  19              16.398              52.245             115.501              28.867              17.471              34.125              31.875             130.616              12.804             504.000             503.170                   1                   
                5848                   0                  20              18.163              54.465             109.772              39.117              11.246              32.875              31.875             122.702               7.868             440.000             502.792                   1                   
                5849                   0                  21              17.623              53.928             109.136              54.500               4.408              32.375              32.000             120.327               5.829             240.000             474.185                   1                   
                5849                   0                  22              21.980              54.644             110.643               3.767               3.790              32.625              31.875          -10000.000          -10000.000              14.000             185.552                   1                   
