             Session           ChannelID           SiteIndex                   X                   Y                   Z        DurationTime        AverageForce      MaxTemperature            MaxPower       BaseImpedance       ImpedanceDrop                 FTI             RFIndex      TagIndexStatus                   
                2842                   0                   1             -18.296              30.922              76.952              12.950              22.049          -10000.000          -10000.000          -10000.000          -10000.000             286.000          -10000.000                   0                   
                2842                   0                   2             -12.263              29.421              80.184               6.283              16.996          -10000.000          -10000.000          -10000.000          -10000.000             107.000          -10000.000                   0                   
                2842                   0                   3             -18.876              33.917              81.527              21.117              20.334          -10000.000          -10000.000          -10000.000          -10000.000             429.000          -10000.000                   0                   
                2842                   0                   4             -21.601              29.154              77.617               6.983              23.484          -10000.000          -10000.000          -10000.000          -10000.000             164.000          -10000.000                   0                   
                2843                   0                   5             -15.469              26.842              79.238               6.900              17.096          -10000.000          -10000.000          -10000.000          -10000.000             118.000          -10000.000                   0                   
                2843                   0                   6             -14.246              34.284              83.597               4.450              13.971          -10000.000          -10000.000          -10000.000          -10000.000              62.000          -10000.000                   0                   
                2843                   0                   7             -19.659              39.535              84.806               9.133              14.314          -10000.000          -10000.000          -10000.000          -10000.000             131.000          -10000.000                   0                   
                2843                   0                   8             -24.029              35.610              80.428               4.100              26.572          -10000.000          -10000.000          -10000.000          -10000.000             109.000          -10000.000                   0                   
                2844                   0                   9             -18.081              30.432              78.623               5.767              24.366          -10000.000          -10000.000          -10000.000          -10000.000             141.000          -10000.000                   0                   
                2845                   0                  10             -19.990              44.979              87.897              23.533              14.725          -10000.000          -10000.000          -10000.000          -10000.000             347.000          -10000.000                   0                   
                2845                   0                  11             -23.051              40.630              84.276              12.383              21.680          -10000.000          -10000.000          -10000.000          -10000.000             268.000          -10000.000                   0                   
                2846                   0                  12             -23.949              39.386              83.293               8.567              19.537          -10000.000          -10000.000          -10000.000          -10000.000             167.000          -10000.000                   0                   
                2847                   0                  13             -21.009              38.808              84.035               9.333              17.825          -10000.000          -10000.000          -10000.000          -10000.000             166.000          -10000.000                   0                   
                2847                   0                  14             -21.682              47.062              92.252              35.933              14.149          -10000.000          -10000.000          -10000.000          -10000.000             508.000          -10000.000                   0                   
                2848                   0                  15             -22.054              51.594              95.620              54.767              15.169          -10000.000          -10000.000          -10000.000          -10000.000             831.000          -10000.000                   0                   
                2849                   0                  16             -21.164              51.881              95.942              22.217               5.114          -10000.000          -10000.000          -10000.000          -10000.000             114.000          -10000.000                   0                   
                2850                   0                  17             -21.949              52.536              95.377              60.100              10.691          -10000.000          -10000.000          -10000.000          -10000.000             643.000          -10000.000                   0                   
                2850                   0                  18             -14.809              46.534              95.514               3.617               5.573          -10000.000          -10000.000          -10000.000          -10000.000              20.000          -10000.000                   0                   
                2850                   0                  19             -15.435              37.588              94.308              12.617               6.954          -10000.000          -10000.000          -10000.000          -10000.000              88.000          -10000.000                   0                   
                2850                   0                  20             -19.158              42.042              96.619               7.300               8.213          -10000.000          -10000.000          -10000.000          -10000.000              60.000          -10000.000                   0                   
                2851                   0                  21             -17.537              43.336              96.527             118.617               7.973          -10000.000          -10000.000          -10000.000          -10000.000             946.000          -10000.000                   0                   
                2852                   0                  22             -12.551              38.695              99.713               3.667               3.032          -10000.000          -10000.000          -10000.000          -10000.000              11.000          -10000.000                   0                   
                2853                   0                  23             -23.788              32.213              83.923              23.817              12.596          -10000.000          -10000.000          -10000.000          -10000.000             300.000          -10000.000                   0                   
                2854                   0                  24             -18.384              28.521              81.736              14.317              11.554          -10000.000          -10000.000          -10000.000          -10000.000             165.000          -10000.000                   0                   
                2855                   0                  25             -15.755              25.448              81.722              19.750               7.907          -10000.000          -10000.000          -10000.000          -10000.000             156.000          -10000.000                   0                   
                2855                   0                  26             -20.231              21.854              79.247               3.217              17.871          -10000.000          -10000.000          -10000.000          -10000.000              57.000          -10000.000                   0                   
                2856                   0                  27             -16.864              25.081              80.812              10.667               6.794          -10000.000          -10000.000          -10000.000          -10000.000              72.000          -10000.000                   0                   
                2857                   0                  28             -16.309              22.583              80.780               9.267               6.467          -10000.000          -10000.000          -10000.000          -10000.000              60.000          -10000.000                   0                   
                2859                   0                  29             -14.435              19.192              81.501              12.617               5.937          -10000.000          -10000.000          -10000.000          -10000.000              75.000          -10000.000                   0                   
                2860                   0                  30             -13.015              14.619              82.975              19.467               4.130          -10000.000          -10000.000          -10000.000          -10000.000              80.000          -10000.000                   0                   
                2861                   0                  31             -12.599              14.379              82.117              12.917               6.231          -10000.000          -10000.000          -10000.000          -10000.000              80.000          -10000.000                   0                   
                2862                   0                  32             -11.303              12.037              83.148              10.967               6.612          -10000.000          -10000.000          -10000.000          -10000.000              73.000          -10000.000                   0                   
                2865                   0                  33              -7.320              14.860              86.152               7.883               2.856          -10000.000          -10000.000          -10000.000          -10000.000              23.000          -10000.000                   0                   
                2866                   0                  34             -11.574              13.874              86.115               8.683               3.298          -10000.000          -10000.000          -10000.000          -10000.000              29.000          -10000.000                   0                   
                2868                   0                  35             -13.422              11.266              86.248               5.583               3.135          -10000.000          -10000.000          -10000.000          -10000.000              18.000          -10000.000                   0                   
                2869                   0                  36             -17.005              18.795              78.415              16.967              11.091          -10000.000          -10000.000          -10000.000          -10000.000             188.000          -10000.000                   0                   
                2870                   0                  37             -13.692              15.330              80.912              11.117               6.823          -10000.000          -10000.000          -10000.000          -10000.000              76.000          -10000.000                   0                   
                2871                   0                  38             -14.276              15.020              80.651              14.017               8.039          -10000.000          -10000.000          -10000.000          -10000.000             113.000          -10000.000                   0                   
                2872                   0                  39             -12.929              13.643              81.796              21.517               6.691          -10000.000          -10000.000          -10000.000          -10000.000             144.000          -10000.000                   0                   
                2873                   0                  40              -8.997              14.355              84.836              11.767               3.611          -10000.000          -10000.000          -10000.000          -10000.000              42.000          -10000.000                   0                   
                2874                   0                  41              -3.639              14.191              85.974              57.383              15.244          -10000.000          -10000.000          -10000.000          -10000.000             875.000          -10000.000                   0                   
                2874                   0                  42              -0.923              21.135              82.918               3.483              12.075          -10000.000          -10000.000          -10000.000          -10000.000              42.000          -10000.000                   0                   
                2877                   0                  43              -1.723              16.310              93.016              68.017               8.649          -10000.000          -10000.000          -10000.000          -10000.000             588.000          -10000.000                   0                   
