,index,ChannelID,SiteIndex,X,Y,Z,DurationTime,AverageForce,MaxTemperature,MaxPower,BaseImpedance,ImpedanceDrop,FTI,RFIndex,TagIndexStatus,StartTs,EndTs,PresetName,PresetId,Comment,Site,Color,Seq
139,2941,0,140,1.8130000000000002,30.191,89.861,11.133,3.958,-10000.0,-10000.0,-10000.0,-10000.0,44.0,-10000.0,0,10136840,10167540,Preset,1,,derechas,3.0,
140,2941,0,141,7.312,7.763999999999999,81.65899999999999,3.017,6.95,-10000.0,-10000.0,-10000.0,-10000.0,21.0,-10000.0,0,10136840,10167540,Preset,1,,derechas,3.0,
141,2941,0,142,5.261,1.63,84.46799999999999,5.9670000000000005,9.02,-10000.0,-10000.0,-10000.0,-10000.0,54.0,-10000.0,0,10136840,10167540,Preset,1,,derechas,3.0,
142,2941,0,143,2.762,14.418,91.186,6.132999999999999,5.388,-10000.0,-10000.0,-10000.0,-10000.0,33.0,-10000.0,0,10136840,10167540,Preset,1,,derechas,3.0,
143,2942,0,144,-0.88,29.825,94.186,3.95,3.293,-10000.0,-10000.0,-10000.0,-10000.0,13.0,-10000.0,0,10181990,10249640,Preset,1,,derechas,3.0,
144,2942,0,145,0.758,6.961,89.16799999999999,4.633,3.8280000000000003,-10000.0,-10000.0,-10000.0,-10000.0,18.0,-10000.0,0,10181990,10249640,Preset,1,,derechas,3.0,
145,2942,0,146,1.626,16.277,90.29700000000001,4.25,3.407,-10000.0,-10000.0,-10000.0,-10000.0,14.0,-10000.0,0,10181990,10249640,Preset,1,,derechas,3.0,
146,2942,0,147,3.363,26.131999999999998,89.755,19.517,5.782,-10000.0,-10000.0,-10000.0,-10000.0,113.0,-10000.0,0,10181990,10249640,Preset,1,,derechas,3.0,
147,2943,0,148,-3.718,37.733000000000004,93.78299999999999,32.016999999999996,8.654,-10000.0,-10000.0,-10000.0,-10000.0,277.0,-10000.0,0,10302690,10335240,Preset,1,,derechas,3.0,
148,2944,0,149,-5.321000000000001,41.797,95.867,7.233,9.21,-10000.0,-10000.0,-10000.0,-10000.0,67.0,-10000.0,0,10336540,10347090,Preset,1,,derechas,3.0,
149,2945,0,150,-3.795,34.985,96.539,3.1,3.985,-10000.0,-10000.0,-10000.0,-10000.0,12.0,-10000.0,0,10367140,10401940,Preset,1,,derechas,3.0,
