           SessionId             StartTs               EndTs          PresetName            PresetId             Comment                   
                3054             4559379             4769479              Preset                   1           izquierda                   
                3055             4776229             4973379              Preset                   1                  NA                   
                3056             5008479             5042232              Preset                   1                  NA                   
                3057             5057429             5102929              Preset                   1                  NA                   
                3058             5122029             5251879              Preset                   1                  NA                   
                3059             5282129             5350879              Preset                   1                  NA                   
                3060             5384179             5447329              Preset                   1                  NA                   
                3061             5464579             5520329              Preset                   1                  NA                   
                3062             5639379             5690229              Preset                   1    izquierda-inicio                   
                3063             5698979             5720979              Preset                   1                  NA                   
                3064             5762279             5794729              Preset                   1                  NA                   
                3065             5800079             5824279              Preset                   1                  NA                   
                3066             5848779             5853879              Preset                   1                  NA                   
                3067             5866779             5958079              Preset                   1       izquierda-fin                   
                3068             5962779             6011379              Preset                   1                  NA                   
                3069             6034829             6062379              Preset                   1                  NA                   
                3070             6069729             6096479              Preset                   1                  NA                   
                3071             6113129             6184979              Preset                   1                  NA                   
                3072             6279429             6382129              Preset                   1             derecha                   
                3073             6427729             6465179              Preset                   1                  NA                   
                3074             6502179             6529079              Preset                   1                  NA                   
                3075             6577382             6583029              Preset                   1                  NA                   
                3076             6583979             6596929              Preset                   1                  NA                   
                3077             6614629             6637879              Preset                   1                  NA                   
                3078             6638779             6701529              Preset                   1                  NA                   
                3079             6791029             6821829              Preset                   1                  NA                   
                3080             6824479             6882829              Preset                   1                  NA                   
                3081             6957429             6972279              Preset                   1                  NA                   
                3082             7036179             7102829              Preset                   1                  NA                   
                3083             7117979             7131729              Preset                   1                  NA                   
                3084             7144179             7162129              Preset                   1                  NA                   
                3085             7170979             7182629              Preset                   1                  NA                   
                3086             7187379             7204379              Preset                   1                  NA                   
                3087             7243179             7249629              Preset                   1                  NA                   
                3088             7256979             7269579              Preset                   1                  NA                   
                3089             7283629             7284529              Preset                   1                  NA                   
                3090             7301679             7310529              Preset                   1                  NA                   
                3091             7312929             7356979              Preset                   1                  NA                   
                3092             7376179             7413679              Preset                   1                  NA                   
                3093             7419679             7424629              Preset                   1                  NA                   
                3094             7426879             7480629              Preset                   1                  NA                   
                3095             7495929             7515279              Preset                   1                  NA                   
                3096             7521329             7543829              Preset                   1                  NA                   
                3097             7554379             7571279              Preset                   1                  NA                   
                3098             7604129             7635479              Preset                   1                  NA                   
                3099             7687929             7694879              Preset                   1                  NA                   
                3100             7697479             7775629              Preset                   1                  NA                   
                3101             7790379             7836679              Preset                   1                  NA                   
                3102             7894629             7965279              Preset                   1                  NA                   
                3103             7970179             8007979              Preset                   1                  NA                   
                3104             8044279             8126729              Preset                   1                  NA                   
                3105             8171079             8226379              Preset                   1           izquierda                   
                3106             8250729             8285129              Preset                   1                  NA                   
                3107             8761929             8804229              Preset                   1                  NA                   
                3108             8835379             8870429              Preset                   1                  NA                   
                3109             8934729             8950879              Preset                   1                  NA                   
                3110             8995979             9026281              Preset                   1                  NA                   
                3111             9032629             9061229              Preset                   1                  NA                   
