           SessionId             StartTs               EndTs          PresetName            PresetId             Comment                   
                2842             4027540             4075390              Preset                   1           izquierda                   
                2843             4075940             4101040              Preset                   1                  NA                   
                2844             4116990             4123290              Preset                   1                  NA                   
                2845             4142790             4179240              Preset                   1                  NA                   
                2846             4181940             4191040              Preset                   1                  NA                   
                2847             4191440             4237240              Preset                   1                  NA                   
                2848             4282790             4338090              Preset                   1                  NA                   
                2849             4362290             4385040              Preset                   1                  NA                   
                2850             4545040             4634640              Preset                   1                  NA                   
                2851             4659340             4778490              Preset                   1                  NA                   
                2852             4778840             4783040              Preset                   1                  NA                   
                2853             4886890             4911240              Preset                   1                  NA                   
                2854             4961990             4976840              Preset                   1                  NA                   
                2855             4987290             5010790              Preset                   1                  NA                   
                2856             5022790             5033990              Preset                   1                  NA                   
                2857             5039890             5049690              Preset                   1                  NA                   
                2858             5050340             5053390              Preset                   1                  NA                   
                2859             5071190             5084340              Preset                   1                  NA                   
                2860             5094640             5114640              Preset                   1                  NA                   
                2861             5120090             5133540              Preset                   1                  NA                   
                2862             5139040             5150540              Preset                   1                  NA                   
                2863             5157140             5158640              Preset                   1                  NA                   
                2864             5160743             5161540              Preset                   1                  NA                   
                2865             5177790             5190790              Preset                   1                  NA                   
                2866             5197390             5206740              Preset                   1                  NA                   
                2867             5214193             5217090              Preset                   1                  NA                   
                2868             5218640             5225740              Preset                   1                  NA                   
                2869             5255740             5273240              Preset                   1                  NA                   
                2870             5282090             5293740              Preset                   1                  NA                   
                2871             5306090             5320640              Preset                   1                  NA                   
                2872             5330090             5352140              Preset                   1                  NA                   
                2873             5370740             5383040              Preset                   1                  NA                   
                2874             5394490             5455890              Preset                   1                  NA                   
                2875             5506990             5523940              Preset                   1                  NA                   
                2876             5526540             5540590              Preset                   1                  NA                   
                2877             5725990             5797790              Preset                   1                  NA                   
                2878             5850440             5850740              Preset                   1                  NA                   
                2879             5857140             5858640              Preset                   1                  NA                   
                2880             5859690             5869290              Preset                   1                  NA                   
                2881             5889040             5911090              Preset                   1                  NA                   
                2882             5927090             5938590              Preset                   1                  NA                   
                2883             5979140             6022890              Preset                   1                  NA                   
                2884             6024090             6034490              Preset                   1                  NA                   
                2885             6093390             6099090              Preset                   1                  NA                   
                2886             6110590             6146140              Preset                   1                  NA                   
                2887             6169290             6170440              Preset                   1                  NA                   
                2888             6208190             6228790              Preset                   1                  NA                   
                2889             6239990             6248590              Preset                   1                  NA                   
                2890             6294440             6317690              Preset                   1                  NA                   
                2891             6349990             6384040              Preset                   1                  NA                   
                2892             6390740             6398440              Preset                   1                  NA                   
                2893             6415440             6420290              Preset                   1                  NA                   
                2894             6630440             6640990              Preset                   1                  NA                   
                2895             6642840             6665290              Preset                   1                  NA                   
                2896             6703590             6746540              Preset                   1            derechas                   
                2897             6750940             6778190              Preset                   1                  NA                   
                2898             6790290             6828640              Preset                   1                  NA                   
                2899             6877140             6886690              Preset                   1                  NA                   
                2900             6931040             6957590              Preset                   1                  NA                   
                2901             6964890             7007890              Preset                   1                  NA                   
                2902             7039440             7055990              Preset                   1                  NA                   
                2903             7069890             7096490              Preset                   1                  NA                   
                2904             7163090             7167190              Preset                   1                  NA                   
                2905             7288090             7300740              Preset                   1                  NA                   
                2906             7323690             7358290              Preset                   1                  NA                   
                2907             7359790             7376690              Preset                   1                  NA                   
                2908             7379340             7387790              Preset                   1                  NA                   
                2909             7402340             7410590              Preset                   1                  NA                   
                2910             7422940             7428240              Preset                   1                  NA                   
                2911             7439540             7467640              Preset                   1                  NA                   
                2912             7476240             7478190              Preset                   1                  NA                   
                2913             7489640             7520540              Preset                   1                  NA                   
                2914             7571890             7625040              Preset                   1                  NA                   
                2915             7630540             7645790              Preset                   1                  NA                   
                2916             7647590             7676590              Preset                   1                  NA                   
                2917             7710440             7770290              Preset                   1                  NA                   
                2918             7808490             7835440              Preset                   1                  NA                   
                2919             7845540             7865090              Preset                   1                  NA                   
                2920             7878590             7954140              Preset                   1                  NA                   
                2921             7991140             8008440              Preset                   1                  NA                   
                2922             8167590             8181940              Preset                   1                  NA                   
                2923             8189840             8253840              Preset                   1                  NA                   
                2924             8459840             8499390              Preset                   1                  NA                   
                2925             8506090             8514790              Preset                   1                  NA                   
                2926             8521490             8574890              Preset                   1                  NA                   
                2927             8601040             8622790              Preset                   1                  NA                   
                2928             8623790             8679890              Preset                   1                  NA                   
