             Session           ChannelID           SiteIndex                   X                   Y                   Z        DurationTime        AverageForce      MaxTemperature            MaxPower       BaseImpedance       ImpedanceDrop                 FTI             RFIndex      TagIndexStatus                   
                3054                   0                   1              -8.301              -5.018              59.974               4.367              23.703          -10000.000          -10000.000          -10000.000          -10000.000             104.000          -10000.000                   0                   
                3054                   0                   2             -19.041              -3.138              63.150              12.200              11.847          -10000.000          -10000.000          -10000.000          -10000.000             145.000          -10000.000                   0                   
                3054                   0                   3             -11.040              -5.655              62.421               5.933              15.591          -10000.000          -10000.000          -10000.000          -10000.000              93.000          -10000.000                   0                   
                3054                   0                   4             -15.608              -4.918              64.157               4.383              13.964          -10000.000          -10000.000          -10000.000          -10000.000              61.000          -10000.000                   0                   
                3054                   0                   5             -14.145              -6.189              63.553               5.900              13.661          -10000.000          -10000.000          -10000.000          -10000.000              81.000          -10000.000                   0                   
                3054                   0                   6             -16.759              -6.089              64.569               3.817              15.272          -10000.000          -10000.000          -10000.000          -10000.000              58.000          -10000.000                   0                   
                3054                   0                   7             -12.468             -11.248              62.104              44.183              15.721          -10000.000          -10000.000          -10000.000          -10000.000             695.000          -10000.000                   0                   
                3054                   0                   8              -8.402             -17.172              60.343              75.350              15.639          -10000.000          -10000.000          -10000.000          -10000.000            1178.000          -10000.000                   0                   
                3054                   0                   9             -12.400             -13.516              62.688               5.533              15.130          -10000.000          -10000.000          -10000.000          -10000.000              84.000          -10000.000                   0                   
                3054                   0                  10              -6.337             -19.197              60.147              15.050              13.793          -10000.000          -10000.000          -10000.000          -10000.000             208.000          -10000.000                   0                   
                3054                   0                  11              -3.487             -24.407              61.817               6.183              13.097          -10000.000          -10000.000          -10000.000          -10000.000              81.000          -10000.000                   0                   
                3054                   0                  12              -1.358             -27.431              66.682              10.633              20.320          -10000.000          -10000.000          -10000.000          -10000.000             216.000          -10000.000                   0                   
                3054                   0                  13              -3.140             -24.148              63.063               6.667              14.017          -10000.000          -10000.000          -10000.000          -10000.000              93.000          -10000.000                   0                   
                3054                   0                  14              -0.136             -28.577              67.095               4.750              11.903          -10000.000          -10000.000          -10000.000          -10000.000              57.000          -10000.000                   0                   
                3055                   0                  15              -3.952             -26.294              68.231               3.167              12.725          -10000.000          -10000.000          -10000.000          -10000.000              40.000          -10000.000                   0                   
                3055                   0                  16              -1.923             -27.622              68.888               7.000              13.029          -10000.000          -10000.000          -10000.000          -10000.000              91.000          -10000.000                   0                   
                3055                   0                  17               4.290             -30.488              71.714              40.833              13.992          -10000.000          -10000.000          -10000.000          -10000.000             571.000          -10000.000                   0                   
                3055                   0                  18               0.831             -24.367              71.470               5.633              10.811          -10000.000          -10000.000          -10000.000          -10000.000              61.000          -10000.000                   0                   
                3055                   0                  19               6.681             -26.812              72.885              10.633              11.706          -10000.000          -10000.000          -10000.000          -10000.000             124.000          -10000.000                   0                   
                3055                   0                  20               1.285             -23.505              71.888               4.767              12.731          -10000.000          -10000.000          -10000.000          -10000.000              61.000          -10000.000                   0                   
                3055                   0                  21               5.371             -26.253              72.827               4.417              12.712          -10000.000          -10000.000          -10000.000          -10000.000              56.000          -10000.000                   0                   
                3055                   0                  22               4.305             -24.977              72.599               6.483               9.246          -10000.000          -10000.000          -10000.000          -10000.000              60.000          -10000.000                   0                   
                3055                   0                  23               8.125             -28.676              73.392              26.017              14.324          -10000.000          -10000.000          -10000.000          -10000.000             373.000          -10000.000                   0                   
                3055                   0                  24               3.509             -22.543              72.783               5.133              15.750          -10000.000          -10000.000          -10000.000          -10000.000              81.000          -10000.000                   0                   
                3055                   0                  25              10.252             -24.464              75.449              30.467              14.033          -10000.000          -10000.000          -10000.000          -10000.000             428.000          -10000.000                   0                   
                3055                   0                  26               5.933             -20.860              74.326               8.767              13.462          -10000.000          -10000.000          -10000.000          -10000.000             118.000          -10000.000                   0                   
                3055                   0                  27               5.227             -20.402              73.613               4.417              14.924          -10000.000          -10000.000          -10000.000          -10000.000              66.000          -10000.000                   0                   
                3055                   0                  28               2.290             -19.306              72.582               3.100              17.544          -10000.000          -10000.000          -10000.000          -10000.000              54.000          -10000.000                   0                   
                3055                   0                  29              11.265             -21.418              76.891              28.350              13.004          -10000.000          -10000.000          -10000.000          -10000.000             369.000          -10000.000                   0                   
                3055                   0                  30               8.348             -19.134              71.537               4.233              17.491          -10000.000          -10000.000          -10000.000          -10000.000              74.000          -10000.000                   0                   
                3056                   0                  31              10.980             -23.390              77.460              19.050              11.471          -10000.000          -10000.000          -10000.000          -10000.000             219.000          -10000.000                   0                   
                3056                   0                  32               5.970             -20.398              74.374               8.917              10.810          -10000.000          -10000.000          -10000.000          -10000.000              96.000          -10000.000                   0                   
                3056                   0                  33               4.052             -17.467              70.787               3.417               4.986          -10000.000          -10000.000          -10000.000          -10000.000              17.000          -10000.000                   0                   
                3057                   0                  34               9.816             -15.575              77.536               6.067               9.435          -10000.000          -10000.000          -10000.000          -10000.000              57.000          -10000.000                   0                   
