VERSION_5_0 1-Map
P	0	1	0	70.0533	35.9646	99.1752	1.58476	0.628685	1.49689	1.194	0.024	-113	-10000	0	-1	1	A	0	18026	0	-10000
P	0	2	0	53.9649	38.6317	100.829	1.60371	0.466505	1.59157	187.299	194.271	-222	-10000	0	6	1	A	0	18026	0	-10000
P	0	4	0	46.0555	35.8123	95.3815	1.84498	0.364677	1.71652	2.658	0.312	-147	-10000	1	9	1	A	0	18026	0	-10000
P	0	5	0	42.3861	40.9537	95.2864	1.87356	0.354982	1.84418	0.921	0.606	-119	-10000	0	-1	1	A	0	18026	0	-10000
P	0	6	0	49.1395	37.9766	95.0579	1.8695	0.359999	1.81048	1.794	0.144	-104	-10000	1	9	1	A	0	18026	0	-10000
P	0	7	0	48.6763	38.0593	93.4344	1.90566	0.453458	2.00323	1.728	0.432	-133	-10000	1	9	1	A	0	18026	0	-10000
P	0	8	0	46.4524	36.1906	99.5445	1.77091	0.348941	1.61481	2.292	0.255	-117	-10000	1	9	1	A	0	18026	0	-10000
P	0	9	0	47.0474	24.744	99.6605	1.76931	0.350261	1.36769	2.199	0.333	-133	-10000	1	9	1	A	0	18026	0	-10000
P	0	10	0	45.3456	36.9357	99.3372	1.77332	0.429667	1.77548	1.272	1.422	-126	-10000	0	-1	1	A	0	18026	0	-10000
P	0	11	0	37.0503	43.2946	98.5975	1.88162	0.299233	2.07116	1.71	1.302	-131	-10000	0	-1	1	A	0	18026	0	-10000
P	0	12	0	45.107	20.2427	100.711	1.77584	0.36806	1.40518	1.806	0.885	-113	-10000	0	-1	1	A	0	18026	0	-10000
P	0	13	0	44.9488	21.1811	96.8414	1.84616	0.367954	1.36956	1.752	0.675	-131	-10000	0	-1	1	A	0	18026	0	-10000
P	0	15	0	-40.1621	21.9449	115.661	-1.56855	-0.0595433	1.57426	1.749	13.632	-183	-10000	0	6	1	A	0	18026	0	-10000
P	0	16	0	-33.4352	37.9551	120.208	1.608	-0.801862	-2.64142	0.75	0.012	-152	-10000	0	6	1	A	0	18026	0	-10000
P	0	17	0	-32.6635	32.8545	117.413	1.54225	-0.620264	-2.47255	1.65	0.165	-66	-10000	1	9	1	A	0	18026	0	-10000
P	0	18	0	-30.3184	33.6976	111.267	2.28818	-1.23936	3.13011	1.692	1.473	-162	-10000	1	9	1	A	0	18026	0	-10000
P	0	19	0	-30.7228	29.7279	108.651	1.76381	-0.082156	-2.325	1.353	0.402	-164	-10000	1	9	1	A	0	18026	0	-10000
P	0	20	0	-31.5045	28.1092	110.226	1.7298	-0.0401287	-2.26682	1.284	0.351	-161	-10000	1	9	1	A	0	18026	0	-10000
P	0	21	0	-30.7	28.1484	117.129	1.57916	-0.593675	-2.48117	1.494	0.486	-150	-10000	1	9	1	A	0	18026	0	-10000
P	0	22	0	-36.7863	30.6075	120.069	-1.54157	-0.38334	0.884978	1.77	0.12	-238	-10000	1	9	1	A	0	18026	0	-10000
P	0	23	0	-34.9709	21.1798	118.304	-1.64662	-0.182035	1.18935	2.217	0.18	-162	-10000	1	9	1	A	0	18026	0	-10000
P	0	24	0	-35.2116	22.8873	114.313	-1.61543	-0.103193	1.16784	0.75	0.138	-164	-10000	1	9	1	A	0	18026	0	-10000
